relationship_id,source_person_id,target_person_id,platform,relationship_type,timestamp,confidence,case_id
S0001,P060,P039,WhatsApp,member_of,2026-05-10,0.67,FIR-0158-2026
S0002,P017,P004,Facebook,associated_with,2026-02-18,0.89,FIR-0158-2026
S0003,P005,P001,Telegram,communicates_with,2026-05-18,0.68,FIR-0163-2026
S0004,P077,P009,WhatsApp,associated_with,2026-07-28,0.66,FIR-0139-2026
S0005,P076,P018,WhatsApp,member_of,2026-06-22,0.73,FIR-0237-2026
S0006,P020,P058,WhatsApp,follows,2026-04-06,0.56,FIR-0305-2026
S0007,P001,P032,Facebook,member_of,2026-01-15,0.95,
S0008,P035,P047,Facebook,associated_with,2026-02-11,0.8,
S0009,P050,P072,Instagram,follows,2026-07-14,0.87,FIR-0295-2026
S0010,P005,P031,WhatsApp,associated_with,2026-06-04,0.78,FIR-0163-2026
S0011,P030,P003,Telegram,follows,2026-05-03,0.6,FIR-0345-2026
S0012,P009,P013,Telegram,member_of,2026-03-12,0.61,FIR-0222-2026
S0013,P004,P052,Facebook,associated_with,2026-02-15,0.58,FIR-0295-2026
S0014,P030,P047,Telegram,follows,2026-04-24,0.8,
S0015,P071,P044,WhatsApp,communicates_with,2026-03-30,0.67,FIR-0430-2026
S0016,P060,P064,Telegram,associated_with,2026-04-02,0.74,
S0017,P019,P033,Instagram,communicates_with,2026-03-07,0.93,FIR-0237-2026
S0018,P013,P014,WhatsApp,communicates_with,2026-08-05,0.95,FIR-0222-2026
S0019,P017,P068,Instagram,member_of,2026-08-07,0.58,FIR-0360-2026
S0020,P066,P058,Instagram,associated_with,2026-07-28,0.89,FIR-0144-2026
S0021,P034,P014,Telegram,follows,2026-03-31,0.66,
S0022,P023,P064,Telegram,associated_with,2026-06-11,0.56,
S0023,P032,P077,Facebook,member_of,2026-04-23,0.63,FIR-0139-2026
S0024,P012,P018,Instagram,communicates_with,2026-07-06,0.94,FIR-0181-2026
S0025,P078,P052,WhatsApp,member_of,2026-04-19,0.61,FIR-0117-2026
S0026,P073,P040,Telegram,communicates_with,2026-06-15,0.97,FIR-0373-2026
S0027,P057,P042,Telegram,follows,2026-03-28,0.8,FIR-0284-2026
S0028,P055,P042,Telegram,communicates_with,2026-01-14,0.94,FIR-0284-2026
S0029,P038,P059,Instagram,follows,2026-03-14,0.73,FIR-0144-2026
S0030,P055,P071,Facebook,follows,2026-06-26,0.71,FIR-0181-2026
S0031,P044,P042,Telegram,associated_with,2026-02-06,0.9,FIR-0222-2026
S0032,P073,P034,Instagram,follows,2026-03-19,0.6,FIR-0222-2026
S0033,P030,P037,Facebook,communicates_with,2026-05-29,0.63,FIR-0322-2026
S0034,P053,P050,Telegram,associated_with,2026-06-17,0.62,FIR-0295-2026
S0035,P073,P066,Facebook,associated_with,2026-05-21,0.58,FIR-0144-2026
S0036,P058,P078,Instagram,communicates_with,2026-05-22,0.77,
S0037,P017,P065,Facebook,associated_with,2026-05-12,0.88,FIR-0478-2026
S0038,P074,P007,Telegram,follows,2026-05-06,0.55,FIR-0108-2026
S0039,P028,P032,Facebook,follows,2026-05-24,0.65,
S0040,P049,P072,Facebook,associated_with,2026-02-28,0.8,FIR-0181-2026
S0041,P039,P042,Instagram,follows,2026-07-20,0.79,FIR-0284-2026
S0042,P021,P005,Instagram,follows,2026-04-10,0.78,FIR-0117-2026
S0043,P045,P002,Facebook,associated_with,2026-01-15,0.55,FIR-0368-2026
S0044,P079,P041,Telegram,communicates_with,2026-02-02,0.56,FIR-0108-2026
S0045,P040,P007,Telegram,communicates_with,2026-01-12,0.75,FIR-0373-2026
S0046,P069,P068,WhatsApp,communicates_with,2026-07-07,0.75,FIR-0360-2026
S0047,P073,P050,WhatsApp,member_of,2026-03-09,0.94,FIR-0295-2026
S0048,P013,P040,Telegram,member_of,2026-08-03,0.88,FIR-0222-2026
S0049,P030,P009,Telegram,member_of,2026-01-14,0.95,
S0050,P006,P063,Telegram,follows,2026-07-11,0.84,FIR-0430-2026
S0051,P073,P024,Instagram,member_of,2026-07-26,0.79,
S0052,P048,P013,Facebook,member_of,2026-04-24,0.86,FIR-0393-2026
S0053,P059,P022,Telegram,follows,2026-04-12,0.75,
S0054,P002,P026,Telegram,associated_with,2026-04-14,0.73,FIR-0222-2026
S0055,P031,P033,Facebook,follows,2026-03-02,0.7,FIR-0237-2026
S0056,P069,P037,Facebook,follows,2026-01-28,0.7,FIR-0322-2026
S0057,P021,P065,Facebook,member_of,2026-06-13,0.6,FIR-0478-2026
S0058,P036,P077,Instagram,associated_with,2026-07-03,0.81,FIR-0139-2026
S0059,P019,P077,Telegram,associated_with,2026-01-18,0.63,FIR-0139-2026
S0060,P026,P080,Instagram,follows,2026-03-17,0.9,FIR-0222-2026
S0061,P039,P042,Telegram,member_of,2026-07-12,0.84,
S0062,P020,P075,Instagram,associated_with,2026-01-23,0.93,
S0063,P009,P004,Telegram,follows,2026-02-26,0.9,FIR-0373-2026
S0064,P073,P020,Instagram,communicates_with,2026-01-11,0.9,FIR-0222-2026
S0065,P030,P021,Telegram,communicates_with,2026-05-02,0.57,FIR-0117-2026
S0066,P028,P002,WhatsApp,communicates_with,2026-06-09,0.58,FIR-0383-2026
S0067,P003,P074,Instagram,associated_with,2026-05-01,0.56,FIR-0393-2026
S0068,P061,P019,Telegram,associated_with,2026-07-16,0.91,FIR-0284-2026
S0069,P007,P028,Facebook,communicates_with,2026-05-11,0.71,
S0070,P079,P031,Facebook,member_of,2026-07-01,0.76,FIR-0237-2026
S0071,P034,P017,WhatsApp,follows,2026-02-27,0.68,FIR-0345-2026
S0072,P004,P050,Instagram,associated_with,2026-04-05,0.69,FIR-0295-2026
S0073,P075,P027,Instagram,member_of,2026-04-05,0.57,FIR-0163-2026
S0074,P028,P073,Facebook,follows,2026-06-09,0.87,
S0075,P023,P038,Instagram,associated_with,2026-02-04,0.7,FIR-0393-2026
S0076,P051,P002,WhatsApp,follows,2026-01-16,0.94,FIR-0305-2026
S0077,P065,P017,Facebook,member_of,2026-06-15,0.76,FIR-0478-2026
S0078,P061,P015,WhatsApp,communicates_with,2026-01-22,0.76,FIR-0345-2026
S0079,P007,P016,Facebook,follows,2026-05-17,0.84,FIR-0108-2026
S0080,P010,P057,WhatsApp,follows,2026-02-12,0.66,FIR-0139-2026
S0081,P059,P077,Facebook,communicates_with,2026-06-21,0.58,FIR-0144-2026
S0082,P019,P030,Facebook,follows,2026-05-30,0.95,FIR-0345-2026
S0083,P029,P073,Telegram,communicates_with,2026-05-23,0.79,FIR-0222-2026
S0084,P024,P010,Instagram,member_of,2026-03-29,0.71,
S0085,P060,P067,Telegram,follows,2026-06-10,0.59,FIR-0117-2026
S0086,P051,P054,Facebook,communicates_with,2026-08-04,0.66,FIR-0305-2026
S0087,P032,P028,Telegram,associated_with,2026-06-03,0.77,
S0088,P035,P077,Telegram,member_of,2026-03-14,0.75,
S0089,P009,P079,Telegram,follows,2026-04-20,0.66,FIR-0108-2026
S0090,P006,P064,Instagram,member_of,2026-03-08,0.8,FIR-0430-2026
S0091,P009,P017,Facebook,follows,2026-07-11,0.63,FIR-0383-2026
S0092,P069,P033,WhatsApp,follows,2026-01-15,0.73,FIR-0276-2026
S0093,P040,P028,Instagram,associated_with,2026-06-23,0.78,
S0094,P059,P038,Telegram,follows,2026-05-26,0.78,
S0095,P072,P055,Facebook,member_of,2026-03-03,0.81,FIR-0181-2026
S0096,P075,P005,WhatsApp,follows,2026-07-31,0.95,FIR-0163-2026
S0097,P016,P050,Facebook,associated_with,2026-06-06,0.67,FIR-0170-2026
S0098,P062,P019,WhatsApp,follows,2026-01-10,0.83,FIR-0237-2026
S0099,P062,P077,Instagram,associated_with,2026-06-23,0.75,
