vehicle_id,registration_number,owner_person_id,vehicle_type,location,case_ids
V001,MH07LM2283,P022,Motorcycle,Kurla West,FIR-0117-2026|FIR-0158-2026|FIR-0368-2026
V002,MH47GK4930,P045,Car,Bandra East,FIR-0368-2026
V003,MH14FK4715,P080,Car,Andheri East,FIR-0163-2026
V004,MH06NL8391,P074,SUV,Shivaji Nagar,FIR-0393-2026
V005,MH18KE5906,P049,Auto-rickshaw,Pune Camp,FIR-0181-2026
V006,MH05AC6865,P046,Auto-rickshaw,Chembur,FIR-0222-2026
V007,MH11CJ5631,P061,Tempo,Chembur,FIR-0284-2026
V008,MH09EE2784,P053,Motorcycle,Dharavi,FIR-0383-2026
V009,MH25LM3817,P027,Car,Vashi,FIR-0478-2026
V010,MH05NA8343,P018,SUV,Pune Camp,FIR-0237-2026
V011,MH48FL8323,P063,Auto-rickshaw,Vashi,FIR-0478-2026
V012,MH19CL9179,P006,SUV,Nagpada,FIR-0430-2026
V013,MH27EA5992,P013,Auto-rickshaw,Chembur,FIR-0222-2026
V014,MH33LB8563,P077,Motorcycle,Wadala,FIR-0139-2026
V015,MH01MD7429,P060,Car,Nagpada,FIR-0117-2026
V016,MH28CD1215,P078,Car,Dharavi,FIR-0170-2026
V017,MH49ED9639,P047,Auto-rickshaw,Byculla,FIR-0158-2026
V018,MH26FB4212,P003,Auto-rickshaw,Bandra East,FIR-0360-2026
V019,MH09MK3281,P044,Auto-rickshaw,Bandra East,FIR-0222-2026
V020,MH12MH5155,P059,Car,Nagpada,FIR-0144-2026
V021,MH40AK1490,P032,Motorcycle,Sion,FIR-0345-2026
V022,MH22DC9715,P014,Tempo,Vashi,FIR-0295-2026
V023,MH41JL5511,P020,Car,Byculla,FIR-0305-2026
V024,MH17BG4172,P019,Car,Vashi,FIR-0237-2026
V025,MH10KC9369,P008,Auto-rickshaw,Kurla West,FIR-0237-2026
V026,MH08HJ5141,P010,Car,Sion,FIR-0139-2026
V027,MH28KM5369,P024,Motorcycle,Mankhurd,FIR-0144-2026
V028,MH32DJ6146,P079,Auto-rickshaw,Thane West,FIR-0108-2026
V029,MH13FG1080,P025,Auto-rickshaw,Worli,FIR-0430-2026
V030,MH34DC2765,P072,Auto-rickshaw,Byculla,FIR-0284-2026
V031,MH01EF1085,P070,Car,Dharavi,FIR-0334-2026
V032,MH43CG6141,P069,SUV,Shivaji Nagar,FIR-0430-2026
V033,MH47GA6255,P062,Auto-rickshaw,Byculla,FIR-0383-2026
V034,MH13LF5797,P034,Motorcycle,Sion,FIR-0345-2026
V035,MH45GB8071,P056,Auto-rickshaw,Worli,FIR-0170-2026|FIR-0295-2026
V036,MH49DL2394,P005,Motorcycle,Thane West,FIR-0163-2026
V037,MH08LL2462,P041,Auto-rickshaw,Sion,FIR-0284-2026
V038,MH12CM2408,P030,Motorcycle,Pune Camp,FIR-0345-2026
V039,MH36AN1353,P055,Tempo,Pune Camp,FIR-0181-2026
V040,MH49DJ4615,P048,Motorcycle,Kurla West,FIR-0393-2026
V041,MH38MF8927,P031,Tempo,Pune Camp,FIR-0237-2026
V042,MH10LN6409,P065,SUV,Chembur,FIR-0478-2026
V043,MH19AK1780,P051,Auto-rickshaw,Pune Camp,FIR-0305-2026
V044,MH32MG5077,P038,Motorcycle,Kalyan,FIR-0334-2026
V045,MH20NN5339,P037,Tempo,Sion,FIR-0322-2026
V046,MH37DG1891,P001,Motorcycle,Thane West,FIR-0237-2026
V047,MH25LN8525,P002,SUV,Chembur,FIR-0383-2026
V048,MH01KL9974,P004,Car,Nagpada,FIR-0158-2026
V049,MH38AA5772,P075,Car,Marol,FIR-0163-2026
V050,MH28FF3069,P039,Motorcycle,Andheri East,FIR-0158-2026
V051,MH15CG2207,P007,Motorcycle,Andheri East,FIR-0108-2026
V052,MH40MB1746,P054,Motorcycle,Marol,FIR-0163-2026
V053,MH20EA5288,P071,Auto-rickshaw,Pune Camp,FIR-0430-2026
V054,MH20HH9888,P064,SUV,Vashi,FIR-0163-2026
V055,MH01KH9415,P016,Motorcycle,Nagpada,FIR-0305-2026
V056,MH21BJ7347,P009,Auto-rickshaw,Mankhurd,FIR-0373-2026
V057,MH10CA3784,P021,Car,Vashi,FIR-0117-2026
V058,MH34DE1081,P033,Auto-rickshaw,Andheri East,FIR-0276-2026
V059,MH13DB6316,P036,Motorcycle,Wadala,FIR-0322-2026
V060,MH35HF2489,P052,SUV,Nagpada,FIR-0117-2026|FIR-0170-2026|FIR-0295-2026
